Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Period,Num_Ind,Ratio_Ind_Avail,Density,Density_Err,Prop_Ind_Avail,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Pan_kg_Avail,Pan_BM_Avail,Pan_Prop_BM_Avail,Pan_Ratio_BM_Avail,Scat_n_Tot,Scat_n_Prey,n_Occ_Anal,Abs_FO,Abs_FO_CI,Rel_FO,Rel_FO_CI,Rel_FO_Anal,Ratio_Occ,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Err_Prop_BM_Consumed,Pan_BM_Consumed,Pan_Tot_BM_Consumed,Pan_Prop_BM_Cons,Pan_Ratio_BM_Cons,BM_Equiv,n_Kills_Tot,n_Kills_Prey,n_Kill_Anal,Prop_Kills,Ratio_Kills,Prop_Kills_Anal,Perc_Kills_Anal,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,,,BM_Use,Jacobs_BM,Ivlevs_BM,Chesson_BM,Period_Code,A_C_Code,A_Code,C_Code,Study_Code,Area_Code,Scat_Kill,n_Prey_Species
Proportion of individuals available data is based on the census date estimates ,Nowak 2011,Lower Silesian Forest,1700,Roe deer,Capreolus capreolus,Capreolus capreolus,Unclear if they were the average of multiple years or a just a single year,,1.204845815,,,0.547,,,22.4,,,,,0.1392040936,0.1617155618,124,75,,60.5,,,,,,,,0.576,,46.365,137.8528,0.3363370204,0.5067888833,,,,,,,,,Wild,,,,,,,,,,,,U,,,NOK11LSF,LSF,Scat,4
Proportion of individuals available data is based on the census date estimates ,Nowak 2011,Lower Silesian Forest,1700,Red deer,Cervus elaphus,Cervus elaphus,Unclear if they were the average of multiple years or a just a single year,,0.3188405797,,,0.242,,,240,,,,,0.6598470355,1.939853843,124,23,,18.5,,,,,,,,0.178,,54.257,137.8528,0.3935864923,0.6490397843,,,,,,,,,Wild,,,hunting red deer can be risky or requires high energy expenditures,,,,,,,,,U,,,NOK11LSF,LSF,Scat,4
Proportion of individuals available data is based on the census date estimates ,Nowak 2011,Lower Silesian Forest,1700,Fallow deer,Dama dama,Dama dama,Unclear if they were the average of multiple years or a just a single year,,0.008056394763,,,0.008,,,56.2,,,,,0.005107906803,0.005134131468,124,3,,2.4,,,,,,,,0.02,,2.6658,137.8528,0.01933801852,0.01971935171,,,,,,,,,Wild,,,,,,,,,,,,U,,,NOK11LSF,LSF,Scat,4
Proportion of individuals available data is based on the census date estimates ,Nowak 2011,Lower Silesian Forest,1700,Wild boar,Sus scrofa,Sus scrofa,Unclear if they were the average of multiple years or a just a single year,,0.2559598494,,,0.204,,,84.5,,,,,0.1958409641,0.2435351161,124,31,,25,,,,,,,,0.196,,34.565,137.8528,0.2507384689,0.3346474608,,,,,,,,,Wild,,,,,,,,,,,,U,,,NOK11LSF,LSF,Scat,4
# individuals was averaged between summer (12300) and winter (14000) numbers.  goat herd size averaged 114 animals (range 10–800).  The number of livestock guardian dogs per herd averaged 3.8 animals (range 0–15) with a total estimated number of 865 guardian dogs present in the study area.,Petridou 2019,Central Continental Greece,612,Goat,Capra hircus,Capra hircus,2010-2012,13150,0.4943609023,21.4869281,,0.3308176101,40,Mean weights reported in literature,46.9,859.4771242,0.2317435841,616735,1007.736928,0.237458297,0.3114036859,123,57,,46,,,,,,,,0.649,,46.4094,88.4438,0.5247332204,1.104081419,,,,,,,,,Livestock,guarded. graze as scattered loose grouping,,,,,,2.80050903,0.7194815317,0.4737547039,0.7319874559,,,,,PEU19CCG,CCG,Scat,3
# individuals was averaged between summer (23500) and winter (26000) numbers.  Sheep herd size averaged 148 animals (range 10–1200).The number of livestock guardian dogs per herd averaged 3.8 animals (range 0–15) with a total estimated number of 865 guardian dogs present in the study area.,Petridou 2019,Central Continental Greece,612,Sheep,Ovis aries,Ovis aries,2010-2012,24750,1.65,40.44117647,,0.6226415094,57,Mean weights reported in literature,34.2,2305.147059,0.6215442229,846450,1383.088235,0.325904279,0.483468844,123,14,,11.5,,,,,,,,0.112,,9.9764,88.4438,0.1127993144,0.1271406979,,,,,,,,,Livestock,guarded. compact herds when grazing,,,,,,0.1801963495,-0.8573591094,-0.6946332709,0.04709910448,,,,,PEU19CCG,CCG,Scat,3
According to (https://students.aiu.edu/submissions/profiles/resources/onlineBook/n5R3d5_Fundamentals_of_Animal_Science.pdf) average mature Limousin cattle is 805kg (average of both sexes). # individuals was averaged between summer (1750) and winter (1950) numbers. cattle herd size averaged 103 animals (range 5–400). The number of livestock guardian dogs per herd averaged 3.8 animals (range 0–15) with a total estimated number of 865 guardian dogs present in the study area.,Petridou 2019,Central Continental Greece,612,Limousin cattle,Bos taurus,Bos taurus,2010-2012,1850,0.04881266491,3.022875817,,0.0465408805,180,Mean weights reported in literature,613,544.1176471,0.146712193,1134050,1853.022876,0.436637424,0.7750557858,123,6,,4.5,,,,,,,,0.124,,32.058,88.4438,0.3624674652,0.5685474002,,,,,,,,,Livestock,unguarded,,,,,,0.8451921922,-0.09692497156,-0.08389793132,0.2209134396,,,,,PEU19CCG,CCG,Scat,3
Juvenile and adult pooled during extraction. denities are means of fall and spring (no season definitions given) 2013-2015. Error rates are Standard Error. 'Absent in winter' density values because the deer to migrate out of the study area,Popp 2018,Great Lakes Region,450,White-tailed deer,Odocoileus virginanus,Odocoileus virginianus,Spring/Summer 2013-2015,594,0.4162578837,1.32,0.81,0.293913904,"adult=73, juvenile= 38.2","adult median masses from literature. juveniles were ""the median between the average birth mass (white-tailed deer, 3.4 kg; Verme 1969; elk, 14.8 kg; Johnson 1951; moose, 16.3 kg; Keech et al. 1999) and median adult mass (white-tailed deer, 73 kg; elk, 340 kg; moose, 385 kg; Eder 2002)""",75,,,44550,99,0.07378148755,0.07965883489,247,52,115,21.05,,0.2105263158,,,0.8253968254,,,0.1652,,54.028,258.557,0.2089597265,0.2641581389,,,,,,,,,Wild,,,"fawns use the 'hider' anti-predator strategyduring their first weeks, thus no protection if discovered. deer less gregarious than elk in summer months",,,,,,,,,B-4-3,,,POP18GLR,GLR,Scat,3
Juvenile and adult pooled during extraction. denities are means of fall and spring (no season definitions given) 2013-2015. Error rates are Standard Error,Popp 2018,Great Lakes Region,450,Elk,Cervus elaphus,Cervus elaphus,Spring/Summer 2013-2015,527,0.3527443106,1.17,0.07,0.260761999,"adult=340, juvenile=177.4 ","adult median masses from literature. juveniles were ""the median between the average birth mass (white-tailed deer, 3.4 kg; Verme 1969; elk, 14.8 kg; Johnson 1951; moose, 16.3 kg; Keech et al. 1999) and median adult mass (white-tailed deer, 73 kg; elk, 340 kg; moose, 385 kg; Eder 2002)""",240,,,126480,280.8,0.2092711283,0.2646559849,247,34,115,13.76,,0.1376518219,,,0.4197530864,,,0.2981,,80.206,258.557,0.3102062601,0.4497087204,,,,,,,,,Wild,,,"fawns use the 'hider' anti-predator strategyduring their first weeks, thus no protection if discovered. small or large groups, change seasonally, large groups predated on more due to increased detection. gregarious, possibly more spatially predictable",,,,,,,,,B-4-3,,,POP18GLR,GLR,Scat,3
Juvenile and adult pooled during extraction. denities are means of fall and spring (no season definitions given) 2013-2015. Error rates are Standard Error,Popp 2018,Great Lakes Region,450,Moose,Alces alces,Alces alces,Spring/Summer 2013-2015,900,0.8028545941,2,0.61,0.445324097,"adult=73, juvenile= 200.65","adult median masses from literature. juveniles were ""the median between the average birth mass (white-tailed deer, 3.4 kg; Verme 1969; elk, 14.8 kg; Johnson 1951; moose, 16.3 kg; Keech et al. 1999) and median adult mass (white-tailed deer, 73 kg; elk, 340 kg; moose, 385 kg; Eder 2002)""",481,,,432900,962,0.7169473841,2.532912059,247,29,115,11.74,,0.1174089069,,,0.3372093023,,,0.2684,,124.323,258.557,0.4808340134,0.926166247,,,,,,,,,Wild,,,calves stay close to their mother as an anti-predator strategy ('the follower' strategy). encounters with large protective mothers/adults are very risky and can lead to death of wolf,,,,,,,,,B-4-3,,,POP18GLR,GLR,Scat,3
,Shrotriya 2022,Ladakh and Spiti,60356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHA22LSH,LSH,Scat,
,Shrotriya 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHA22LSH,LSH,Scat,
,Shrotriya 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHA22LSH,LSH,Scat,
,Shrotriya 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHA22LSH,LSH,Scat,
,Shrotriya 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHA22LSH,LSH,Scat,
,Shrotriya 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHA22LSH,LSH,Scat,
,Sidorovich 2003,Lovat River,800,Moose,Alces alces,Alces alces,1990-1992,392,0.2287047841,0.49,,0.1861348528,200,No details given,481,,,188552,235.69,0.5798721455,1.380227803,447,191,,42.7,,,,,,,,0.325,,818.817,1273.8248,0.6428018987,1.799566952,,,,,,,,,Wild,,,,0.01666666667,,,,,,,,P-3-3,,,SIH03LVR,LVR,Scat,3
poached,Sidorovich 2003,Lovat River,800,Roe deer,Capreolus capreolus,Capreolus capreolus,1990-1992,133,0.06741003548,0.1666666667,,0.06315289649,20,No details given,22.4,,,2979.2,3.733333333,0.00918518397,0.009270333691,447,29,,6.5,,,,,,,,0.036,,17.9278,1273.8248,0.01407399196,0.01427489675,,,,,,,,,Wild,,,,0.01666666667,,,,,,,,P-3-3,,,SIH03LVR,LVR,Scat,3
,Sidorovich 2003,Lovat River,800,Wild boar,Sus scrofa,Sus scrofa,1990-1992,1581,3.011428571,1.976666667,,0.7507122507,80,No details given,84.5,,,133594.5,167.0283333,0.4109426705,0.6976276331,447,392,,87.7,,,,,,,,0.523,,437.08,1273.8248,0.3431241094,0.5223575934,,,,,,,,,Wild,,,,0.01666666667,,,,,,,,P-3-3,,,SIH03LVR,LVR,Scat,3
,Sidorovich 2003,Lovat River,800,Moose,Alces alces,Alces alces,1994-1996,61,0.09983633388,0.07666666667,,0.09077380952,200,No details given,481,,,29341,36.87666667,0.464229215,0.8664698188,363,72,,19.8,,,,,,,,0.108,,308.664,438.0806,0.7045826727,2.385041795,,,,,,,,,Wild,,,,0.02433333333,,,,,,,,P-3-3,,,SIH03LVR,LVR,Scat,3
,Sidorovich 2003,Lovat River,800,Roe deer,Capreolus capreolus,Capreolus capreolus,1994-1996,283,0.7275064267,0.3533333333,,0.4211309524,20,No details given,22.4,,,6339.2,7.914666667,0.09963534739,0.110661105,363,38,,10.5,,,,,,,,0.04,,23.4916,438.0806,0.05362392217,0.0566623813,,,,,,,,,Wild,,,,0.02433333333,,,,,,,,P-3-3,,,SIH03LVR,LVR,Scat,3
,Sidorovich 2003,Lovat River,800,Wild boar,Sus scrofa,Sus scrofa,1994-1996,328,0.9534883721,0.41,,0.4880952381,80,No details given,84.5,,,27716,34.645,0.4361354376,0.7734755235,363,95,,26.2,,,,,,,,0.173,,105.925,438.0806,0.2417934051,0.3189017436,,,,,,,,,Wild,,,,0.02433333333,,,,,,,,P-3-3,,,SIH03LVR,LVR,Scat,3
,Sidorovich 2003,Lovat River,800,Moose,Alces alces,Alces alces,1999-2000,204,0.1003937008,0.255,,0.09123434705,200,No details given,481,,,98124,122.655,0.4757813318,0.9076008939,375,56,,14.9,,,,,,,,0.097,,240.072,643.8552,0.3728664457,0.5945566829,,,,,,,,,Wild,,,,0.0125,,,,,,,,P-2-2,,,SIH03LVR,LVR,Scat,3
,Sidorovich 2003,Lovat River,800,Roe deer,Capreolus capreolus,Capreolus capreolus,1999-2000,1024,0.8448844884,1.28,,0.457960644,20,No details given,22.4,,,22937.6,28.672,0.1112192927,0.125136934,375,76,,20.3,,,,,,,,0.102,,46.9832,643.8552,0.0729716868,0.07871570454,,,,,,,,,Wild,,,,0.0125,,,,,,,,P-2-2,,,SIH03LVR,LVR,Scat,3
,Sidorovich 2003,Lovat River,800,Wild boar,Sus scrofa,Sus scrofa,1999-2000,1008,0.8208469055,1.26,,0.4508050089,80,No details given,84.5,,,85176,106.47,0.4129993755,0.7035757003,375,320,,85.3,,,,,,,,0.601,,356.8,643.8552,0.5541618675,1.24296651,,,,,,,,,Wild,,,,0.0125,,,,,,,,P-2-2,,,SIH03LVR,LVR,Scat,3
,Sin 2019,Romanian Carpathians,600,Wild boar,Sus scrofa,Sus scrofa,Nov 2013-Oct 2014,962,0.1152509884,1.603333333,,0.1033408529,66,"From literature, average mass of live adults",84.5,105.82,,81289,135.4816667,0.1661832458,0.001218073719,236,159,234,67.37288136,,64.37,,,2.12,65.57,,0.7219,0.653-0.7838,177.285,238.6684,0.7428088511,2.888158688,,,,,,,,,Wild,,,More gregarious than the deer and have large litters. Juvenile:Adult ratio is high. Likely low escape speeds in snow,,,,,,,,,E-1-1,,,SIN19SRC,SRC,Scat,7
,Sin 2019,Romanian Carpathians,600,Red deer,Cervus elaphus,Cervus elaphus,Nov 2013-Oct 2014,632,0.07283623372,1.053333333,,0.067891288,115,"From literature, average mass of live adults",240,121.1333333,,151680,252.8,0.3100871548,0.0022752464,236,8,234,3.389830508,,3.38,,,0.03539823009,3.38,,0.0523,0.0196-0.0979,18.872,238.6684,0.07907205143,0.08586127889,,,,,,,,,Wild,,,Less gregarious than boar. Relatively high escape speeds in snow,,,,,,,,,E-1-1,,,SIN19SRC,SRC,Scat,7
,Sin 2019,Romanian Carpathians,600,Roe deer,Capreolus capreolus,Capreolus capreolus,Nov 2013-Oct 2014,667,0.07718120805,1.111666667,,0.07165109034,24,"From literature, average mass of live adults",22.4,26.68,,14940.8,24.90133333,0.03054423894,0.0002236578192,236,36,234,15.25423729,,14.9,,,0.1818181818,14.21,,0.102,0.0722-0.1362,22.2552,238.6684,0.09324736748,0.1028366107,,,,,,,,,Wild,,,Less gregarious than boar,,,,,,,,,E-1-1,,,SIN19SRC,SRC,Scat,7
,Sin 2019,Romanian Carpathians,600,Chamois ,Rupicapra rupicapra,Rupicapra rupicapra,Nov 2013-Oct 2014,145,0.01582278481,0.2416666667,,0.01557632399,,,30,,,4350,7.25,0.008892926709,0.00006510744356,236,0,234,0,,0,,,0,0,,0,0,0,238.6684,0,0,,,,,,,,,Wild,,,Escape response is to flee to steep terrain where wolves cannot follow,,,,,,,,,E-1-1,,,SIN19SRC,SRC,Scat,7
,Sin 2019,Romanian Carpathians,600,Sheep ,,Ovis aries,Nov 2013-Oct 2014,6500,2.313990744,10.83333333,,0.6982490063,40,"From literature, average mass of live adults",34.2,433.3333333,,222300,370.5,0.4544592201,0.003338104128,236,2,234,0.8474576271,,0.93,,,0.008620689655,0.97,,0.0084,0.0009-0.0231,1.4252,238.6684,0.005971465012,0.006007337618,,,,,,,,,Livestock,Guarded,,"Guarded by sheperd and locked in outdoor enclosures at night guarded by 1-2 guardian dogs but more often by several small mixed-breed dogs. Grazed from May-sept in high pasture, always in sheepfolds, making their location predictable ",,,,,,,,,E-1-1,,,SIN19SRC,SRC,Scat,7
,Sin 2019,Romanian Carpathians,600,Goat,,Capra hircus,Nov 2013-Oct 2014,230,0.02533318647,0.3833333333,,0.02470727253,30,"From literature, average mass of live adults",46.9,11.5,,10787,17.97833333,0.02205241389,0.0001614670492,236,5,234,2.118644068,,2.31,,,0.02183406114,2.42,,0.0187,0.0066-0.0372,4.071,238.6684,0.01705713869,0.0173531335,,,,,,,,,Livestock,Guarded,,Guarded by sheperd and locked in outdoor enclosures at night guarded by 1-2 guardian dogs but more often by several small mixed-breed dogs. Grazed from May-sept ,,,,,,,,,E-1-1,,,SIN19SRC,SRC,Scat,7
"Domestic dog is not in pantheria database so reported value used instead, authors describe that in the area there are some guardian sheperd dogs and ""small-sized mixed-breed dogs are prevalent""",Sin 2019,Romanian Carpathians,600,Dog,,Canis lupus familiaris,Nov 2013-Oct 2014,173,0.01893607706,0.2883333333,,0.01858416586,22,"From literature, average mass of live adults",22,6.343333333,,3806,6.343333333,0.007780799783,0.00005696480749,236,24,234,10.16949153,,9.72,,,0.1142857143,10.17,,0.0712,0.0446-0.0979,14.76,238.6684,0.06184312628,0.06591981364,,,,,,,,,Livestock,,,"Guard dogs rare in area, these are small mixed-breed dogs",,,,,,,,,E-1-1,,,SIN19SRC,SRC,Scat,7
Uses data from our other papers. Absolute FO and Relative FO calculated in whole scat equivalents ,Ståhlberg 2017,South-central Scandinavia,17370,Moose,Alces alces,Alces alces,1997-2006,21886,2.21048379,1.26,,0.6885204643,160.6,prey weights sourced externally and adjusted to local juvenile:adult ratios ((adult:yearling:calf) 80:10:10),481,202.356,0.9497071412,10527166,606.06,0.9793674494,0.005512626687,2159,,,,,73.5,0.02,,,,,0.925,,,,,,,,,,,,,,Wild,,,"""Moose can also cause injury or death to predators but as the Scandinavian moose may be naïve due to a long period of wolf absence,their anti-predator behaviour has not yet had enough time to adjustto the re-colonising wolves""",,,,0.973984463,-0.2098290087,-0.01317920048,0.5631403738,,,,,STG17SCA,SCA,Scat,2
Uses data from our other papers. Absolute FO and Relative FO calculated in whole scat equivalents ,Ståhlberg 2017,South-central Scandinavia,17370,Roe deer,Capreolus capreolus,Capreolus capreolus,1997-2006,9901,0.4523896555,0.57,,0.3114795357,18.8,prey weights sourced externally and adjusted to local juvenile:adult ratios ((adult:yearling:calf) 80:10:10),22.4,10.716,0.05029285875,221782.4,12.768,0.02063255056,0.0001155123636,2159,,,,,8.7,0.01,,,,,0.038,,,,,,,,,,,,,,Wild,,,,,,,0.7555744681,-0.1455282493,-0.1392282335,0.4368596262,,,,,STG17SCA,SCA,Scat,2
Uses data from our other papers. Absolute FO and Relative FO calculated in whole scat equivalents ,Ståhlberg 2017,Tuscany ,8000,Wild boar,Sus scrofa ,Sus scrofa,2005-2009,55280,0.1988489209,6.91,,0.1658665386,33.8,prey weights sourced externally and adjusted to local juvenile:adult ratios ((adult:fawn) 50:50),84.5,233.558,0.2015585626,4671160,583.895,0.3021975889,0.571941611,542,,,,,40.1,0.05,,,,,0.419,,,,,,,,,,,,,,Wild,,,"""Adult wild boar can cause serious injury or death to predators, and albeit the Apennine wild boar is somewhat smaller than in other parts of Europe, it can be energy beneficial targeting younger individuals""",,,,2.078800298,0.4814352707,0.3503963212,0.4092826485,,,,,STG17TUS,TUS,Scat,5
Uses data from our other papers. Absolute FO and Relative FO calculated in whole scat equivalents ,Ståhlberg 2017,Tuscany ,8000,Roe deer,Capreolus capreolus,Capreolus capreolus,2005-2009,200800,1.515700483,25.1,,0.6024963994,22.4,prey weights sourced externally and adjusted to local juvenile:adult ratios ((adult:fawn) 50:50),22.4,562.24,0.4852083261,4497920,562.24,0.2909899424,0.5392906655,542,,,,,24.9,0.04,,,,,0.234,,,,,,,,,,,,,,Wild,,,,,,,0.4822670746,-0.5104502931,-0.3492845077,0.09495070101,,,,,STG17TUS,TUS,Scat,5
Uses data from our other papers. Absolute FO and Relative FO calculated in whole scat equivalents ,Ståhlberg 2017,Tuscany ,8000,Red deer,Cervus elaphus,Cervus elaphus,2005-2009,15280,0.04805031447,1.91,,0.04584733557,70.8,prey weights sourced externally and adjusted to local juvenile:adult ratios ((adult:fawn) 50:50),240,135.228,0.116700611,3667200,458.4,0.2372470646,0.3998622929,542,,,,,4.9,0.02,,,,,0.074,,,,,,,,,,,,,,Wild,,,,,,,0.6341012216,-0.2462139005,-0.2239143901,0.1248444248,,,,,STG17TUS,TUS,Scat,5
Uses data from our other papers. Absolute FO and Relative FO calculated in whole scat equivalents ,Ståhlberg 2017,Tuscany ,8000,Fallow deer,Dama dama,Dama dama,2005-2009,22880,0.07371134021,2.86,,0.06865098416,39.7,prey weights sourced externally and adjusted to local juvenile:adult ratios ((adult:fawn) 50:50),56.2,113.542,0.0979857779,1285856,160.732,0.08318759856,0.1113054189,542,,,,,10,0.02,,,,,0.115,,,,,,,,,,,,,,Wild,,,,,,,1.17363971,0.08933739596,0.0798843109,0.2310709545,,,,,STG17TUS,TUS,Scat,5
Ovis orientalis and Ovis gmellini aren't in PanTheria database so domestic sheep weight was used. Uses data from our other papers. Absolute FO and Relative FO calculated in whole scat equivalents ,Ståhlberg 2017,Tuscany ,8000,Mouflon,Ovis orientalis musimon,Ovis aries musimon,2005-2009,39040,0.1326808048,4.88,,0.1171387422,23.4,prey weights sourced externally and adjusted to local juvenile:adult ratios ((adult:fawn) 50:50),34.2,114.192,0.09854672236,1335168,166.896,0.0863778056,0.1160693753,542,,,,,7.4,0.03,,,,,0.07,,,,,,,,,,,,,,Wild,,,,,,,0.7103229648,-0.1844697184,-0.1693697864,0.1398512712,,,,,STG17TUS,TUS,Scat,5
137 bison scavenged over the study period,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,Winter 1995/1996,681,0.043,0.6844221106,,0.04122775154,,,620,,,422220,424.3417085,0.09954872752,0.1105542638,,,,,,,,,,,,,,,,,,,,,,0,,,,Wild,,,,,,,,,,,,D,,,TAN17YNP-P,YNP-P,Kill,2
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,Winter 1995/1996,15913,23.3671072,15.99296482,,0.9587722485,,,240,,,3819120,3838.311558,0.9004512725,9.045331818,,,,,,,,,,,,,,,,,,,,,,1,,,,Wild,,,migrate seasonally,,,,,,,,,D,,,TAN17YNP-P,YNP-P,Kill,2
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,Winter 1996/1997,1112,0.078,1.11758794,,0.0723581468,,,620,,,689440,692.9045226,0.1680741102,0.2020301475,,,,,,,,,,,,,,,,,,,,,,0,,,,Wild,,,,,,,,,,,,D,,,TAN17YNP-P,YNP-P,Kill,2
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,Winter 1996/1997,14219,12.7868705,14.29045226,,0.9276418532,,,240,,,3412560,3429.708543,0.8319258898,4.949756324,,,,,,,,,,,,,,,,,,,,,,1,,,,Wild,,,,,,,,,,,,D,,,TAN17YNP-P,YNP-P,Kill,2
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,Winter 1997/1998,784,0.063,0.7879396985,,0.05926821893,,,620,,,486080,488.5226131,0.1406351264,0.1636500754,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,D,,,TAN17YNP-P,YNP-P,Kill,2
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,Winter 1997/1998,12376,15.78571429,12.43819095,,0.9407317811,,,240,,,2970240,2985.165829,0.8593648736,6.110599078,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,D,,,TAN17YNP-P,YNP-P,Kill,2
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,Winter 1998/1999,457,0.038,0.4592964824,,0.03660978931,,,620,,,283340,284.7638191,0.09006185515,0.09897579924,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,D,,,TAN17YNP-P,YNP-P,Kill,2
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,Winter 1998/1999,11928,26.10065646,11.9879397,,0.9633902107,,,240,,,2862720,2877.105528,0.9099381449,10.10347992,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,D,,,TAN17YNP-P,YNP-P,Kill,2
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,Winter 1999/2000,502,0.031,0.5045226131,,0.03006708194,,,620,,,311240,312.8040201,0.0733966589,0.07921044059,,,,,,,,,,,,,,,,,,,,,,0,,,,Wild,,,,,,,,,,,,D,,,TAN17YNP-P,YNP-P,Kill,2
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,Winter 1999/2000,16372,32.61354582,16.45427136,,0.9699329181,,,240,,,3929280,3949.025126,0.9266033411,12.62459838,,,,,,,,,,,,,,,,,,,,,,1,,,,Wild,,,,,,,,,,,,D,,,TAN17YNP-P,YNP-P,Kill,2
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,Winter 2000/2001,547,0.036,0.5497487437,,0.03475001588,,,620,,,339140,340.8442211,0.0856306022,0.09364989949,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,D,,,TAN17YNP-P,YNP-P,Kill,2
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,Winter 2000/2001,15089,27.58500914,15.16482412,,0.9652499841,,,240,,,3621360,3639.557789,0.9143693978,10.67806805,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,D,,,TAN17YNP-P,YNP-P,Kill,2
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,Winter 2001/2002,929,0.076,0.9336683417,,0.07063027446,,,620,,,575980,578.8743719,0.1635052658,0.195464788,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,D,,,TAN17YNP-P,YNP-P,Kill,2
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,Winter 2001/2002,12278,13.21636168,12.33969849,,0.9293697255,,,240,,,2946720,2961.527638,0.8364947342,5.116010973,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,D,,,TAN17YNP-P,YNP-P,Kill,2
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,Winter 2002/2003,1214,0.123,1.220100503,,0.1095272465,,,620,,,752680,756.4623116,0.2415749811,0.318521904,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,D,,,TAN17YNP-P,YNP-P,Kill,2
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,Winter 2002/2003,9846,8.110378913,9.895477387,,0.8904727535,,,240,,,2363040,2374.914573,0.7584250189,3.139501515,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,D,,,TAN17YNP-P,YNP-P,Kill,2
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,Winter 2003/2004,1443,0.174,1.450251256,,0.1482128184,,,620,,,894660,899.1557789,0.31057466,0.4504833837,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,D,,,TAN17YNP-P,YNP-P,Kill,2
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,Winter 2003/2004,8275,5.734580735,8.316582915,,0.8517871816,,,240,,,1986000,1995.979899,0.68942534,2.219837704,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,D,,,TAN17YNP-P,YNP-P,Kill,2
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,Winter 2004/2005,1642,0.186,1.650251256,,0.1568290353,,,620,,,1018040,1023.155779,0.3244769688,0.480334428,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,D,,,TAN17YNP-P,YNP-P,Kill,2
