Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Num_Ind,Ratio_Ind_Avail,Density,Prop_Ind_Avail,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Pan_kg_Avail,Pan_BM_Avail,Pan_Prop_BM_Avail,Pan_Ratio_BM_Avail,Scat_n_Tot,Scat_n_Prey,n_Occ_Anal,Abs_FO,Abs_FO_CI,Rel_FO,Rel_FO_CI,Rel_FO_Anal,Ratio_Occ,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Err_Prop_BM_Consumed,Pan_BM_Consumed,Pan_Tot_BM_Consumed,Pan_Prop_BM_Cons,Pan_Ratio_BM_Cons,BM_Equiv,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,BM_Use,Jacobs_BM,Ivlevs_BM,Chesson_BM,Timepoint,Period,Season,A_C_Code,A_Code,Avail_Season,n_Avail_Season_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n
,Klich 2021,Vitebsk,Not given,Wild boar,Sus scrofa,,,,,,,,84.5,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,,,,,,,,,,UK,UK,UK
,Klich 2021,,Not given,Elk,Alces alces,,,,,,,,481,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,,,,,,,,,,UK,UK,UK
,Klich 2021,,Not given,Red deer,Cervus elaphus,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,"""show various behavioral adaptations to the presence of wolves, including increased vigilance and aggressive behavior towards predators""",,,,,,,,,,,,,,,,,,UK,UK,UK
,Klich 2021,,Not given,Roe deer,Capreolus capreolus,,,,,,,,22.4,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,,,,,,,,,,,,,,,,,,,UK,UK,UK
,Klich 2021,,Not given,Beaver,Not given,Castor fiber,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,Wild,,,"Spend more time on land in the spring and autumn, making them more vulnerable to predation during these times. "" Beavers can be attractive prey for lone wolves or small packs, because they are an easier food source compared to ungulates [62,63].""",,,,,,,,,,,,,,,,,,UK,UK,UK
not available in 2 of the 3 territories from Jan-March. Scat data for April not reported by paper due to low sample size. ,Kojola 2004,Kainuu,8000,Forest reindeer,Rangifer tarandus fennicus,Rangifer tarandus fennicus,1600,0.6666666667,0.2,0.4,90,external source,108,,,172800,21.6,0.130198915,0.1496881497,443,,,,,,,,,,,0.211,,,,,,,Wild,,,"Short april migration prior to calving dilutes the population = spacing tactic that likely decreases risk of predation. Aggregate into winter range from Jan-March. Terrain here does not allow for escape to higher elevations. In this SA they prefer mosaic of different habitat types . Better adapted (morphologically and behaviourally) to snow than other boreal ungulates as they have large dewclaws, foot loading 2.3 times smaller than moose. wolves usually fall behind when reindeer escape into deep snow, reindeer are faster than wolves on hard surfaes like lake ice (where reindeer comonly use to rest) (see discussion for sources). spatially sedentary during winter with a mean winter home range of 155km^2. Most vulnerable to wolves during autumn rut and early winter. ",,,,,,,1998-2000 (year-round except Aprils),MYR,P-2-2,AS,MWI,2,SNOW+RAD,2,KOA04KAI,KAI,2,2,1,1
"Paper gives 2 moose density values: before hunting season= 375/1000km^2 , after hunting season= 250/1000km^2 (prehunting is sometime before october, post hunting is sometime after october). Presumably each value represents half the year cuz numbers cannot increase until calving in spring. The abstract says that the overall ratio is roughly 1 reindeer to 1.5 moose so we used 0.3 as density for moose. Scat data for April not reported by paper due to low sample size. ",Kojola 2004,Kainuu,8000,Moose,Alces alces,Alces alces,2400,1.5,0.3,0.6,200-225,"200kg for summer (may-sept) and 225kg for early winter (nov-dec). ""Mean masses of moose were calculated from the body mass of calves, yearlings, adult females and males in proportion to their prevalence among all moose killed by wolves""",481,,,1154400,144.3,0.869801085,6.680555556,443,,,,,,,,,,,0.758,,,,,,,Wild,,,Pop declines 30% in autumn due to hunting (375/km^2 to 250/km^2). Less well adapted to snow than reindeer. Moose footloading is 2.3 times larger than than of reindeer,,,,,,,1998-2000 (year-round except Aprils),MYR,P-1-2,HH,SSUW,2,SNOW+RAD,2,KOA04KAI,KAI,2,2,1,1
,Lagos 2018,Valley of the river Eume (VDE),302,Roe deer,Capreolus capreolus,Capreolus capreolus,,,,,,"average weights of adults (no source given, probably estimates)",22.4,2230,,,,,,293,41,256,0.1399317406,,13.36,,,0.1906976744,,,,,25.3462,796.1284,0.03183682431,0.0328837381,,Wild,,,,,,,,,,2003-2006,U,,SS,U,U,T,3,LAS18VRE,VRE,6,1,0,1
,Lagos 2018,Valley of the river Eume (VDE),302,Wild boar,Sus scrofa,Sus scrofa,,,,,,"average weights of adults (no source given, probably estimates)",84.5,1040,,,,,,293,7,256,0.02389078498,,2.28,,,0.0281124498,,,,,7.805,796.1284,0.009803694982,0.009900759003,,Wild,,,,,,,,,,2003-2006,U,,SS,U,U,T,3,LAS18VRE,VRE,6,1,0,1
,Lagos 2018,Valley of the river Eume (VDE),302,Red deer,Cervus elaphus,Cervus elaphus,,,,,,"average weights of adults (no source given, probably estimates)",240,,,,,,,293,1,256,0.003412969283,,0.33,,,0.003921568627,,,,,2.359,796.1284,0.002963089873,0.002971895868,,Wild,,,,,,,,,,2003-2006,U,,SS,U,U,T,3,LAS18VRE,VRE,6,1,0,1
This breed is on the smaller side (wikipedia says 135kg-300kg),Lagos 2018,Valley of the river Eume (VDE),302,Galician wild ponies,Equus ferus atlanticus,Equus caballus,448,0.01213960546,1.483443709,0.011994003,300,"average weights of adults (no source given, probably estimates)",400,450,,179200,593.3774834,0.009812205556,0.009909439008,293,114,256,0.3890784983,,37.13,,,0.8028169014,,,,,414.846,796.1284,0.5210792631,1.088028191,,Feral,,,feral,,,,,,,2003-2006,U,P-3-3,CNT,U,U,T,3,LAS18VRE,VRE,6,1,0,1
Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,Valley of the river Eume (VDE),302,Cattle,Bos taurus,Bos taurus,28976,3.459407832,95.94701987,0.7757549797,600,"average weights of adults (no source given, probably estimates)",613,57570,,17762288,58815.52318,0.9725849386,35.47629985,293,60,256,0.204778157,,19.54,,,0.306122449,,,,,320.58,796.1284,0.4026737396,0.6741269658,,Livestock,,,permanently in pastures,,,,,,,2003-2006,U,P-3-3,GSO,U,3,T,3,LAS18VRE,VRE,6,1,0,1
sheep and goats lumped together. Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,Valley of the river Eume (VDE),302,Sheep + Goats,Ovis aries + Capra hircus,Capra hircus and Ovis aries,7928,0.269439913,26.25165563,0.2122510173,45,"average weights of adults (no source given, probably estimates)",40.55,1180,,321480.4,1064.504636,0.01760285584,0.01791826854,293,33,256,0.1126279863,,10.75,,,0.1479820628,,,,,25.1922,796.1284,0.03164338818,0.03267741222,,Livestock,,,,,,,,,,2003-2006,U,P-1-3,GSO,U,1,T,3,LAS18VRE,VRE,6,1,0,1
,Lagos 2018,Centre of the Dorsal Galega (CDG),259,Roe deer,Capreolus capreolus,Capreolus capreolus,,,,,,"average weights of adults (no source given, probably estimates)",22.4,1490,,0,0,0,0,1063,71,820,0.06679209784,,6.39,,,0.09479305741,,,,,43.8922,2898.5628,0.01514274592,0.01537557433,,Wild,,,,,,,,,,2003-2006,U,,SS,U,U,T,3,LAS18CDG,CDG,5,1,0,1
,Lagos 2018,Centre of the Dorsal Galega (CDG),259,Wild boar,Sus scrofa,Sus scrofa,,,,,,"average weights of adults (no source given, probably estimates)",84.5,1650,,0,0,0,0,1063,23,820,0.02163687676,,2.07,,,0.02885821832,,,,,25.645,2898.5628,0.008847488141,0.008926464934,,Wild,,,,,,,,,,2003-2006,U,,SS,U,U,T,3,LAS18CDG,CDG,5,1,0,1
This breed is on the smaller side (wikipedia says 135kg-300kg),Lagos 2018,Centre of the Dorsal Galega (CDG),259,Galician wild ponies,Equus ferus atlanticus,Equus caballus,215,0.00401959318,0.8301158301,0.004003500736,300,"average weights of adults (no source given, probably estimates)",400,250,,86000,332.046332,0.003151746376,0.003161711288,1063,377,820,0.3546566322,,34.47,,,0.8510158014,,,,,1371.903,2898.5628,0.4733045632,0.8986304611,,Feral,,,feral,,,,,,,2003-2006,U,P-3-3,CNT,U,U,T,3,LAS18CDG,CDG,5,1,0,1
Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,Centre of the Dorsal Galega (CDG),259,Cattle,Bos taurus,Bos taurus,43727,4.383219727,168.8301158,0.8142375659,600,"average weights of adults (no source given, probably estimates)",613,101300,,26804651,103492.861,0.9823425773,55.63340667,1063,260,820,0.2445907808,,23.4,,,0.4642857143,,,,,1389.18,2898.5628,0.4792651034,0.9203629457,,Livestock,,,,,,,,,,2003-2006,U,P-3-3,GSO,U,3,T,3,LAS18CDG,CDG,5,1,0,1
sheep and goats lumped together. Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,Centre of the Dorsal Galega (CDG),259,Sheep + Goats,Ovis aries + Capra hircus,Capra hircus and Ovis aries,9761,0.2221337217,37.68725869,0.1817589334,45,"average weights of adults (no source given, probably estimates)",40.55,1700,,395808.55,1528.21834,0.01450567631,0.01471918809,1063,89,820,0.08372530574,,8.01,,,0.121751026,,,,,67.9426,2898.5628,0.02344009935,0.02400272562,,Livestock,,,,,,,,,,2003-2006,U,P-1-3,GSO,U,1,T,3,LAS18CDG,CDG,5,1,0,1
,Lagos 2018,South of the Macizos Centrales of Ourense (SMC),247,Roe deer,Capreolus capreolus,Capreolus capreolus,,,,,,"average weights of adults (no source given, probably estimates)",22.4,5640,,0,0,0,0,1384,741,1159,0.5354046243,,49.04,,,1.772727273,,,,,458.0862,980.631,0.4671341208,0.876644835,,Wild,,,,,,,,,,2003-2006,U,,SS,U,U,T,3,LAS18SMC,SMC,5,1,0,1
,Lagos 2018,South of the Macizos Centrales of Ourense (SMC),247,Wild boar,Sus scrofa,Sus scrofa,,,,,,"average weights of adults (no source given, probably estimates)",84.5,5640,,0,0,0,0,1384,285,1159,0.2059248555,,18.86,,,0.3260869565,,,,,317.775,980.631,0.3240515546,0.4794027662,,Wild,,,,,,,,,,2003-2006,U,,SS,U,U,T,3,LAS18SMC,SMC,5,1,0,1
,Lagos 2018,South of the Macizos Centrales of Ourense (SMC),247,Red deer,Cervus elaphus,Cervus elaphus,,,,,,"average weights of adults (no source given, probably estimates)",240,,,0,0,0,0,1384,36,1159,0.02601156069,,2.38,,,0.0320569902,,,,,84.924,980.631,0.08660138217,0.09481225445,,Wild,,,,,,,,,,2003-2006,U,,SS,U,U,T,3,LAS18SMC,SMC,5,1,0,1
Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,South of the Macizos Centrales of Ourense (SMC),247,Cattle,Bos taurus,Bos taurus,2504,0.2031148605,10.13765182,0.168824164,600,"average weights of adults (no source given, probably estimates)",613,6080,,1534952,6214.380567,0.7543308792,3.070515647,1384,10,1159,0.007225433526,,0.66,,,0.008703220191,,,,,53.43,980.631,0.05448532628,0.0576250457,,Livestock,,,,,,,,,,2003-2006,U,P-3-3,GSO,U,3,T,3,LAS18SMC,SMC,5,1,0,1
sheep and goats lumped together. Livestock carrion availability decreased in the last years of the study due to new regulation in the disposal of livestock carcasses,Lagos 2018,South of the Macizos Centrales of Ourense (SMC),247,Sheep + Goats,Ovis aries + Capra hircus,Capra hircus and Ovis aries,12328,4.923322684,49.91093117,0.831175836,45,"average weights of adults (no source given, probably estimates)",40.55,2250,,499900.4,2023.888259,0.2456691208,0.3256781971,1384,87,1159,0.06286127168,,5.76,,,0.08115671642,,,,,66.4158,980.631,0.0677276162,0.07264788422,,Livestock,,,,,,,,,,2003-2006,U,P-1-3,GSO,U,1,T,3,LAS18SMC,SMC,5,1,0,1
"Season in which availability is taken for wild ungulates is not explicitly stated, only that they were taken in March-April or April-May, in some places they mention spring but then in their analyses they divide things into ""winter (January–April), summer (May–August) and autumn (September–December)""",Mattioli 2004,Casentinesi Forest Area,130.7,Roe deer,Capreolus capreolus,Capreolus capreolus,1595,0.5325542571,12.2,0.3474945534,"Adults= 24kg, Fawns= varied","Fawn masses varied by month (see diet method notes), calculated by linear regression from 35 hunter harvested deer. Adult weight based on 160 individuals.",22.4,,,35728,273.28,0.1098488754,0.1234047482,1862,444,2103,23.9,,,,,0.2676311031,19.1,15.9,,,274.4808,2368.21016,0.1159022137,0.1310965998,,Wild,,,"can reach high densities in exploited forests and agricultural land ~ better able to exploit human landscapes. Form larger groups in open habitat. Considered difficult to kill in forested areas ""because of their tendency to live in small groups and their secretive and elusive nature."" Vulnerability of fawns is high in the first months of life then decreasesover time to adulthood",,,,,,,May 1988-April 2000,MYR,P-12-12,DS,MWI,12,U,12,MAI04CFA,CFA,4,UK,UK,UK
,Mattioli 2004,Casentinesi Forest Area,130.7,Wild boar,Sus scrofa,Sus scrofa,993,0.2760633862,7.6,0.2163398693,,,84.5,,,83908.5,642.2,0.2581416415,0.3479662101,1862,1220,2103,65.5,,,,,1.381653454,58.7,,,,1360.3,2368.21016,0.5744000355,1.349624256,,Wild,,,"""which are more vulnerable and at the same time provide more biomass than the average roe deer prey""",,,,,,,May 1988-April 2000,MYR,P-12-12,DS,MWI,12,U,12,MAI04CFA,CFA,4,UK,UK,UK
=(Total ungulates) - (known roe deer and wild boar). Density is Red deer (6.2/km^2) and Fallow deer (1.5/km^2). Took the weighted mean (weighted by density) of red deer and follow deer from PanTheria,Mattioli 2004,Casentinesi Forest Area,130.7,Red deer + Fallow deer,,Cervus elaphus and Dama dama,1006,0.2806919643,7.7,0.2191721133,,,204.195,,,205420.17,1572.3015,0.6320094831,1.717461332,1862,331,2103,17.8,,,,,0.1867945824,13.1,,,,686.01736,2368.21016,0.2896775681,0.4078113757,,Wild,,,,,,,,,,May 1988-April 2000,MYR,P-12-12,ROAR + (DS+CNT),MAU + MWI,12,U,12,MAI04CFA,CFA,4,UK,UK,UK
"""Farms are distributed exclusively in the lower part of the area: about 960 sheep and a few dozen cattle and horses were present in 1990""",Mattioli 2004,Casentinesi Forest Area,130.7,Livestock,,Livestock,996,0.2771285476,7.620504973,0.2169934641,,,,,,0,0,0,0,1862,108,2103,5.8,,,,,0.05413533835,4.4,,,,47.412,2368.21016,0.02002018267,0.02042917855,,Livestock,,,,,,,,,,May 1988-April 2000,MYR,,GSO,U,U,U,U,MAI04CFA,CFA,4,UK,UK,UK
,Mattioli 2004,SAF,98.7,Roe deer,Capreolus capreolus,Capreolus capreolus,1826,5.129213483,18.5,0.8368469294,"Adults= 24kg, Fawns= varied","Fawn masses varied by month (see diet method notes), calculated by linear regression from 35 hunter harvested deer. Adult weight based on 160 individuals.",22.4,,,40902.4,414.4,0.4086583502,0.6910697907,457,113,508,24.7,,,,,0.2860759494,18.8,16.8,,,69.8566,563.7736,0.1239089592,0.1414338846,,Wild,,,"can reach high densities in exploited forests and agricultural land ~ better able to exploit human landscapes. Form larger groups in open habitat. Considered difficult to kill in forested areas ""because of their tendency to live in small groups and their secretive and elusive nature."" Vulnerability of fawns is high in the first months of life then decreasesover time to adulthood",,,,,,,"Jan 1996-Feb 2000, except 1997",MYR,P-4-4,DS,MWI,4,U,4,MAI04MUG,MUG,3,UK,UK,UK
,Mattioli 2004,SAF,98.7,Wild boar,Sus scrofa,Sus scrofa,168,0.08341608739,1.7,0.07699358387,,,84.5,,,14196,143.65,0.1416596815,0.1650390625,457,352,508,77.1,,,,,2.256410256,70.1,,,,392.48,563.7736,0.6961659787,2.29127066,,Wild,,,"""which are more vulnerable and at the same time provide more biomass than the average roe deer prey""",,,,,,,"Jan 1996-Feb 2000, except 1997",MYR,P-4-4,DS,MWI,4,U,4,MAI04MUG,MUG,3,UK,UK,UK
,Mattioli 2004,SAF,98.7,Red deer,Cervus elaphus,Cervus elaphus,188,0.09428284855,1.9,0.08615948671,,,240,,,45120,456,0.4496819683,0.8171310814,457,43,508,9.3,,,,,0.09247311828,7.5,,,,101.437,563.7736,0.1799250621,0.2194007569,,Wild,,,,,,,,,,"Jan 1996-Feb 2000, except 1997",MYR,P-4-4,ROAR,MAU,4,U,4,MAI04MUG,MUG,3,UK,UK,UK
,Mattioli 2004,VS,143.6,Roe deer,Capreolus capreolus,Capreolus capreolus,3016,3.442922374,21,0.7749229188,"Adults= 24kg, Fawns= varied","Fawn masses varied by month (see diet method notes), calculated by linear regression from 35 hunter harvested deer. Adult weight based on 160 individuals.",22.4,,,67558.4,470.4,0.3765673294,0.6040224505,191,97,212,50.7,,,,,0.8434782609,40.7,16,,,59.9654,191.06308,0.3138513207,0.4574100777,,Wild,,,"can reach high densities in exploited forests and agricultural land ~ better able to exploit human landscapes. Form larger groups in open habitat. Considered difficult to kill in forested areas ""because of their tendency to live in small groups and their secretive and elusive nature."" Vulnerability of fawns is high in the first months of life then decreasesover time to adulthood",,,,,,,Mar 1997-Feb 2000,MYR,P-3-3,DS,MWI,3,U,3,MAI04VLS,VLS,3,UK,UK,UK
,Mattioli 2004,VS,143.6,Wild boar,Sus scrofa,Sus scrofa,560,0.1680672269,3.9,0.1438848921,,,84.5,,,47320,329.55,0.2638132726,0.3583510307,191,112,212,58.5,,,,,1.12,48.4,,,,124.88,191.06308,0.6536061284,1.886887102,,Wild,,,"""which are more vulnerable and at the same time provide more biomass than the average roe deer prey""",,,,,,,Mar 1997-Feb 2000,MYR,P-3-3,DS,MWI,3,U,3,MAI04VLS,VLS,3,UK,UK,UK
Total ungulates - known roe deer and wild boar. Density is Red deer (0.7/km^2) and Fallow deer (1.5/km^2),Mattioli 2004,VS,143.6,Red deer + Fallow deer,,Cervus elaphus and Dama dama,316,0.08836689038,2.2,0.08119218911,,,204.195,,,64525.62,449.229,0.359619398,0.5615713482,191,3,212,1.5,,,,,0.01435406699,1.2,,,,6.21768,191.06308,0.03254255087,0.03363719086,,Wild,,,,,,,,,,Mar 1997-Feb 2000,MYR,P-3-3,ROAR + (DS+CNT),MAU + MWI,3,U,3,MAI04VLS,VLS,3,UK,UK,UK
,Mattioli 2004,PM,179.6,Roe deer,Capreolus capreolus,Capreolus capreolus,2945,1.031162465,16.4,0.5076710912,"Adults= 24kg, Fawns= varied","Fawn masses varied by month (see diet method notes), calculated by linear regression from 35 hunter harvested deer. Adult weight based on 160 individuals.",22.4,,,65968,367.36,0.2275111631,0.2945170885,1301,203,1357,15.6,,,,,0.1759098787,10.8,14.4,,,125.4946,1403.6014,0.08940900173,0.09818788226,,Wild,,,"can reach high densities in exploited forests and agricultural land ~ better able to exploit human landscapes. Form larger groups in open habitat. Considered difficult to kill in forested areas ""because of their tendency to live in small groups and their secretive and elusive nature."" Vulnerability of fawns is high in the first months of life then decreasesover time to adulthood",,,,,,,"Mar 1994-Feb 2000, except 1997 and 1998",MYR,P-6-6,DS,MWI,6,U,6,MAI04PRA,PRA,3,UK,UK,UK
,Mattioli 2004,PM,179.6,Wild boar,Sus scrofa,Sus scrofa,2245,0.6313273341,12.5,0.387002241,,,84.5,,,189702.5,1056.25,0.6541503323,1.891429697,1301,1116,1357,85.8,,,,,4.630705394,79.2,,,,1244.34,1403.6014,0.886533741,7.813192651,,Wild,,,"""which are more vulnerable and at the same time provide more biomass than the average roe deer prey""",,,,,,,"Mar 1994-Feb 2000, except 1997 and 1998",MYR,P-6-6,DS,MWI,6,U,6,MAI04PRA,PRA,3,UK,UK,UK
,Mattioli 2004,PM,179.6,Fallow deer,Dama dama,Dama dama,611,0.1177263969,3.4,0.1053266678,,,56.2,,,34338.2,191.08,0.1183385046,0.1342221535,1301,38,1357,2.9,,,,,0.02880970432,2.2,,,,33.7668,1403.6014,0.02405725728,0.0246502753,,Wild,,,,,,,,,,"Mar 1994-Feb 2000, except 1997 and 1998",MYR,P-6-6,DS + CNT,MWI,6,U,6,MAI04PRA,PRA,3,UK,UK,UK
,Mattioli 2004,VT,385.9,Roe deer,Capreolus capreolus,Capreolus capreolus,14857,3.234704986,38.5,0.7638560411,"Adults= 24kg, Fawns= varied","Fawn masses varied by month (see diet method notes), calculated by linear regression from 35 hunter harvested deer. Adult weight based on 160 individuals.",22.4,,,332796.8,862.4,0.5011651625,1.004671536,286,174,295,60.8,,,,,1.438016529,53.4,16,,,107.5668,235.4634,0.4568302335,0.8410450317,,Wild,,,"can reach high densities in exploited forests and agricultural land ~ better able to exploit human landscapes. Form larger groups in open habitat. Considered difficult to kill in forested areas ""because of their tendency to live in small groups and their secretive and elusive nature."" Vulnerability of fawns is high in the first months of life then decreasesover time to adulthood",,,,,,,Mar 1998-Feb 2001,MYR,P-3-3,DS,MWI,3,U,3,MAI04VAL,VAL,3,UK,UK,UK
,Mattioli 2004,VT,385.9,Wild boar,Sus scrofa,Sus scrofa,2586,0.1533444023,6.7,0.1329562982,,,84.5,,,218517,566.15,0.3290058636,0.4903259891,286,90,295,31.6,,,,,0.4390243902,23.8,,,,100.35,235.4634,0.4261808842,0.7427094574,,Wild,,,"""which are more vulnerable and at the same time provide more biomass than the average roe deer prey""",,,,,,,Mar 1998-Feb 2001,MYR,P-3-3,DS,MWI,3,U,3,MAI04VAL,VAL,3,UK,UK,UK
,Mattioli 2004,VT,385.9,Fallow deer,Dama dama,Dama dama,2007,0.1150604827,5.2,0.1031876607,,,56.2,,,112793.4,292.24,0.1698289739,0.2045710686,286,31,295,10.7,,,,,0.1174242424,9.2,,,,27.5466,235.4634,0.1169888823,0.1324885724,,Wild,,,,,,,,,,Mar 1998-Feb 2001,MYR,P-3-3,DS + CNT,MWI,3,U,3,MAI04VAL,VAL,3,UK,UK,UK
Ovis orientalis and Ovis gmellini aren't in PanTheria database so domestic sheep weight was used. available biomass prop only considers the three wild ungulate species. Livestock highly abundant but not available in winter,Mengüllüoğlu 2019,SWPA,80,Anatolian wild sheep,Ovis gmelinii anatolica,Ovis aries orientalis,58,0.4113475177,0.58,0.2914572864,40,mean winter body weights taken from another paper,34.2,29,0.089,1983.6,19.836,0.07295168183,0.07869242671,28,3,24,10.71428571,,10.34,,,0.1428571429,10.71,,0.0569,,2.1378,28.0408,0.07623890902,0.08253098097,,Wild,,,"Reintroduced. Only occupies open hilly habitats, not mountains. Migration route was cut off by construction of dam and are now confined to two main hills (see figure 1 for map). Yoy are no longer small in winter",,0.6393258427,-0.2364261209,-0.220013708,0.3442392027,,2015-2017 Winter,MWI,P-1-2,DS/CNT?,SAU,1,T,2,MEU19SWP,SWP,3,5,1,4
available biomass prop only considers the three wild ungulate species,Mengüllüoğlu 2019,SWPA,80,Red deer,Cervus elaphus,Cervus elaphus,53,0.3630136986,0.663,0.2663316583,150,mean winter body weights taken from another paper,240,165,0.509,12720,159.12,0.585202239,1.410813399,28,2,24,7.142857143,,6.89,,,0.09090909091,5,,0.0456,,4.718,28.0408,0.1682548287,0.2022913201,,Wild,,,,,0.08958742633,-0.9118830523,-0.8355571583,0.04823753735,,2015-2017 Winter,MWI,P-1-2,DS/CNT?,SAU,1,T,2,MEU19SWP,SWP,3,5,1,4
available biomass prop only considers the three wild ungulate species,Mengüllüoğlu 2019,SWPA,80,Wild boar,Sus scrofa,Sus scrofa,88,0.7927927928,1.1,0.4422110553,120,mean winter body weights taken from another paper,84.5,130.5,0.402,7436,92.95,0.3418460792,0.5194014171,28,19,24,67.85714286,,65.51,,,3.8,66.36,,0.7466,,21.185,28.0408,0.7555062623,3.090084308,,Wild,,,,,1.85721393,0.6284495424,0.3000174125,1,,2015-2017 Winter,MWI,P-1-2,DS/CNT?,SAU,1,T,2,MEU19SWP,SWP,3,5,1,4
available biomass prop only considers the three wild ungulate species. Livestock highly abundant but not available in winter,Mengüllüoğlu 2019,NM,110,Red deer,Cervus elaphus,Cervus elaphus,250,2.747252747,2.275,0.7331378299,150,mean winter body weights taken from another paper,240,341.3,0.79,60000,546,0.8862909778,7.794376914,81,20,70,24.69135802,,22.73,,,0.4,23.1,,0.2284,,47.18,102.93,0.4583697659,0.8462780269,,Wild,,,average group size = 1.75,,0.2891139241,-0.854108114,-0.55145326,0.08908866332,,2014-2017 Winter/Early spring ,MWS,P-1-3,CAM,SWI,1,T,3,MEU19NLM,NLM,2,5,1,4
available biomass prop only considers the three wild ungulate species. Livestock highly abundant but not available in winter,Mengüllüoğlu 2019,NM,110,Wild boar,Sus scrofa,Sus scrofa,91,0.364,0.829,0.2668621701,120,mean winter body weights taken from another paper,84.5,90.8,0.21,7689.5,70.0505,0.1137090222,0.128297619,81,50,70,61.72839506,,56.82,,,2.5,58.33,,0.6815,,55.75,102.93,0.5416302341,1.181644765,,Wild,,,average group size =  2.91,,3.245238095,0.778991194,0.5288839035,1,,2014-2017 Winter/Early spring ,MWS,P-1-3,CAM,SWI,1,T,3,MEU19NLM,NLM,2,5,1,4
,Meriggi 1996,Western Northern Apennines,500,Wild boar,Sus scrofa,Sus scrofa,898,0.1661117277,1.7956,0.1424492386,,,84.5,,,75881,151.7282,0.03258712436,0.03368481564,292,,,,,,,,,11.9,,,,,,,,,Wild,,,"Live in large groups, easily detectable. Births are spread throughout the years with a peak in spring and autumn. Subadults are forced out of the hear when there are new births. (ie constant supply of subadults (naive) since births happen year round)",,,,,,,Dec 1987- May 1992,MYR,P-5-5,HH,U,5,T,5,MEI96WNA,WNA,6,UK,UK,UK
"""Roe deer tracks were never encountered on the transects but some individuals were occasionally observed in the western part of the study area. We therefore considered roe deer as present at lower densities than fallow deer."" should we remove fallow deer or should we set it to 0.01 or something like that ~ solution: assume they were eaten according to availability rather than creating preference",Meriggi 1996,Western Northern Apennines,500,Roe deer,Capreolus capreolus,Capreolus capreolus,0,0,,0,,,22.4,,,0,0,0,0,292,,,,,,,,,0.7,,,,,,,,,Wild,,,"Solitary and territorial, may be harder to detect, especially in forests",,,,,,,Dec 1987- May 1992,MYR,P-1-5,TS,U,1,T,5,MEI96WNA,WNA,6,UK,UK,UK
,Meriggi 1996,Western Northern Apennines,500,Fallow deer,Dama dama,Dama dama,6,0.0009526833916,0.0121,0.0009517766497,,,56.2,,,337.2,0.68002,0.0001460499519,0.0001460712856,292,,,,,,,,,0.9,,,,,,,,,Wild,,,,,,,,,,Dec 1987- May 1992,MYR,P-1-5,TS,U,1,T,5,MEI96WNA,WNA,6,UK,UK,UK
sheeps and goats were reported collectively for density but seperately for consumption (they were combined for extraction),Meriggi 1996,Western Northern Apennines,500,Sheep and goats,Ovis aries + Capra aegagrus hircus,Capra hircus and Ovis aries,1700,0.3692441355,3.4,0.2696700508,,,40.55,,,68935,137.87,0.02961075684,0.03051430861,292,,,,,,,,,11.3,,,,,,,,,Livestock,,,Graze from Mar-Dec,,,,,,,Dec 1987- May 1992,MYR,P-1-5,FARM,U,1,T,5,MEI96WNA,WNA,6,UK,UK,UK
,Meriggi 1996,Western Northern Apennines,500,Cattle,Bos taurus,Bos taurus,3300,1.098535286,6.6,0.5234771574,,,613,,,2022900,4045.8,0.8689287011,6.629435342,292,,,,,,,,,6.5,,,,,,,,,Livestock,,,Graze from Apr-Oct. 500 calves born on the pasture April-Sept,,,,,,,Dec 1987- May 1992,MYR,P-1-5,FARM,U,1,T,5,MEI96WNA,WNA,6,UK,UK,UK
,Meriggi 1996,Western Northern Apennines,500,Horse,Equus caballus,Equus caballus,400,0.06775067751,0.8,0.06345177665,,,400,,,160000,320,0.06872736773,0.07379940669,292,,,,,,,,,1.3,,,,,,,,,Livestock,,,Graze for May-Nov,,,,,,,Dec 1987- May 1992,MYR,P-1-5,FARM,U,1,T,5,MEI96WNA,WNA,6,UK,UK,UK
